Chocolate Cream Ale,Specialty Beer,3.84,10.72,11.56
Cherry Fever Stout,American Stout,6.34,15.29,44.98
Blind Pig IPA,Imperial IPA,8.38,116.6,6.95
Hard Seltzer,Common Cider,6.04,0,0
Winter Warmer,Holiday/Winter Special Spiced Beer,6.14,44.28,25.71
John's Rye Pale Ale,American Wheat or Rye Beer,4.72,30.34,4.77
Blind Pig IPA,Imperial IPA,8.38,116.6,6.95
Tankhouse Clone,American Pale Ale,5.09,34.12,12.3
Pliny The Younger Clone,Imperial IPA,10.27,328.85,6.54
Bathams Best Bitter (Wheeler),Special/Best/Premium Bitter,4.58,30.74,4.99
Old Capital American Wheet &Rye,American Wheat or Rye Beer,4.9,29,3.41
Nelson Pale Ale Ala Vestbrygg?,American Pale Ale,5.57,31.68,7.79
Ramon's Weiss,Weizen/Weissbier,5.91,12.55,3.52
Belgian Wit Beer,Weizen/Weissbier,5.41,23.54,15.19
Smoked Gose,Gueuze,4.32,11.54,4.28
Drop Bear,American IPA,5.59,62.62,7.94
Stone Imperial Russian Stout Clone,Imperial Stout,10.1,56.4,50
Edelweiss Dunkel Weissbier,Weizen/Weissbier,4.15,13.24,5.55
Kinn Vestkyst IPA Klone,English IPA,8.3,85.74,15.98
Perry Don't Tarry,Traditional Perry,7.67,0,0
Jim's No-no-no-no-no-no Dibley Chocolate,Sweet Stout,4.9,20.28,32.37
6 Hilda Red,Irish Red Ale,5.33,23.37,14.55
Antwerp Is Where?,Belgian Pale Ale,5.37,36.89,8.87
Darko,British Brown Ale,4.69,27.55,22.67
The Virgin Porter,Robust Porter,6.05,34.12,40
Vanilla Porter,American Stout,5.62,59.3,40
The Virgin Porter,Robust Porter,6.05,34.12,40
Belgian Grand Cru 3.0,Belgian Golden Strong Ale,8.56,24.94,4.28
Watermelon Blonde,Blonde Ale,3.96,22.07,4.25
Cold Cove Brewing - New England Ipa (NEIPA),American IPA,6.5,49.68,5.75
Not Your Uncle's Dunkle,Dunkles Weissbier,5.38,15.63,22.02
British Golden Ale,British Golden Ale,4.97,38.53,3.75
NW Old Scottish Luncheon Ale,Scottish Light 60/-,6.07,18.74,10.97
Lupulin Threshold Ale,Imperial IPA,7.39,121.9,7.33
IPA,American IPA,7.98,231.47,11.02
Red Hue BM,American Amber Ale,5.98,32.96,8.85
Kit Oatmeal + Honey,American Stout,8.44,5.71,29.99
Marzen - Octoberfest,Festbier,6.03,27.78,5.63
Der Bayer,Dunkelweizen,5.05,52.01,3.63
Spring Pale IPA Ale,American Pale Ale,5.83,20.63,8.61
India Red Ale,English IPA,5.84,77.52,15.2
Session Rye Pale Ale MK-I,American Pale Ale,4.38,51.07,5.12
Maltmons APA Triple C,American Pale Ale,5.66,34.89,9.72
SBC Cucumber Kolsch,Kölsch,4.67,43.39,3.23
Imperial Oktoberfest,No Profile Selected,8.65,42.1,13.65
SBC Cucumber Kolsch,Kölsch,4.67,43.39,3.23
Gruit Saison,Saison,5.12,0,5.1
EB2 - Galaxy Pale Ale,American IPA,5.58,38.1,6.74
FESTBIER,Munich Helles,6,33.11,4.15
Hop Slam IPA,American IPA,5.19,0,6.48
Alt Bier Northern German Style,Altbier,5.07,45.91,16.01
Rocker Arm Red,American Amber Ale,5.83,17.79,15.66
My Damn Foot Dunkelweizen,Dunkelweizen,5.29,17.75,18.51
NEIPA Test - Maris Otter,American IPA,6.67,73.37,5.44
Date Ale,Fruit and Spice Beer,2.96,0,26.62
Rye IPA 2,American IPA,8.42,75.73,9.15
Pale Ale,American Pale Ale,4.62,21.17,10.59
1337 Pale Ale,American Pale Ale,5.78,38.76,11.8
Belgian Jarrylo IPA,American IPA,7.22,68.73,10.33
Grainfather Robust Porter,Foreign Extra Stout,7.54,32.33,48.11
Vienna Oktoberfest Two 215,Oktoberfest/Märzen,3.39,19.47,11.33
Deuchars IPA,English IPA,3.72,41.25,5.9
Kettle Sour Experiment Probiotic,Berliner Weisse,7.01,18.04,4.59
Galaxy/Cascade/Centennial IPA,American IPA,5.95,55.37,7.48
The First Reich Dunkelweizen,Dunkelweizen,5.34,14.59,20.4
Dig (clone),American Pale Ale,5.44,39.77,8.86
Rebel,American IPA,6.5,55.61,8.16
Stone IPA,American IPA,5.5,71,8
Golden Bock,Traditional Bock,7.36,28.97,9.31
Muscat Pyment,Pyment (Grape Melomel),11.47,0,4.29
Old Northwest IPA,American IPA,7.17,74.43,8.52
Scott's Nut Brown Ale W/ MO,Southern English Brown,4.11,30.78,22.2
Citra Double Ipa,Double IPA,8.46,64.76,5.56
Tropicalia Clone,American IPA,6.7,0,7.35
Welsh's Bock,Traditional Bock,6.86,25.17,22.74
On The Lake Lager,Standard American Lager,4.96,16.01,5.33
Yuenling Amber Lager Clone,Clone Beer,5.32,31.47,10.62
Vienna No Chill #1,Vienna Lager,4.71,24.88,13.98
Cyser,Dry Mead,9.12,0,2.72
Alaskan Amber Clone,North German Altbier,5.25,16.35,8.85
Wild Jack Pumpkin Saison,Saison,5.75,21.88,18.63
Chocolate Toffee Brown Ale,American Brown Ale,5.61,22.63,21.75
Chim Chim's Badass Revenge,Imperial IPA,7.98,239.15,9.43
Red Top Road- Vienna Lager,Vienna Lager,5.86,32.2,11.69
B1S American IPA ▲ 04.03.15,American IPA,8.43,513.24,8.56
Brown Paper Dubbel,Belgian Dubbel,8.12,18.1,16.62
Black Butte Clone From CYBI,Robust Porter,4.92,32.82,24.54
WUOKSI Kesäsiirtola Brew,American Pale Ale,4.89,14.93,9.08
Awesome Recipe,Classic Style Smoked Beer,6.07,40.66,6.97
Basic Cyser,Cyser (Apple Melomel),20.24,0,3.86
Ruby Red,American Amber Ale,6.52,80.97,9.24
#16 Vienna Lager,Vienna Lager,4.72,24.19,8.89
L'IPA,American IPA,5.8,58.15,8.97
30 Minute Cascade,American IPA,5.17,40.79,10.59
Wit (hefeWeissen),Belgian Pale Ale,5.31,16.81,3.83
Boston Lager Clone,Premium American Lager,10.04,12.89,10.16
Avant Garde Clone,Bière de Garde,7.42,24.36,6.86
Hells Helle,Munich Helles,10.65,23.87,6.4
Red Rum Amber,American Amber Ale,7.04,39.02,13.16
IPA - Funky White IPA (test Batch),American IPA,8.38,65.39,6.44
Matcha Cream Ale,Cream Ale,4.73,23.78,5.9
Tre Gamle Damer,Belgian Pale Ale,4.82,29.2,8.4
Even Flow APA,American Pale Ale,6.37,43.37,9.56
Stiff Neck Amarillo IPA,American IPA,7.02,56.21,7.98
Santorum Stout 2/25/12,California Common Beer,8.21,63.89,36.44
Stiff Neck Amarillo IPA,American IPA,7.02,56.21,7.98
Red Lager,Dark American Lager,4.98,16.03,13.42
Saison - Anchorage Brewing Love Buzz Saison,Saison,6.21,46.72,8.2
Kellerbier,No Profile Selected,6.57,10.9,3.89
FBB Conundrum Session IPA,American IPA,4.42,50.36,6.17
Light Rye Saison,Saison,4.88,34.38,3.69
Awesome Saison Recipe,Saison,5.68,34.66,4.04
Head First Scotch Ale,Scottish Export 80/-,4.79,22.87,19.56
06 American Pilsner,Bohemian Pilsener,6.61,63.35,5.61
Galaxy Mosaic Red IPA,Specialty IPA: Red IPA,6.85,44.93,15.38
Angry Leprechaun - St. Paddy's 2013,Irish Red Ale,5.02,20.4,13.4
K97-Kolsch,Kölsch,4.39,19.45,3.56
NE Pale Ale,Specialty IPA: New England IPA,6.57,42.72,5.14
Hooligan 6.9,American IPA,7.26,73.04,7.97
Stanley Cup Stout,Sweet Stout,5.21,14.57,40
California Pale Ale,American Pale Ale,5.45,42.61,5.71
Jizz Bucket Spring Ale(Buzz Bullets),American Pale Ale,6.34,51.34,7.49
Ricktober Fest,Weizenbock,5.62,39.85,15.93
Witbier,Witbier,5.04,12.31,4.65
Apple Pie Cyser,Cyser (Apple Melomel),12.51,0,6.88
Olicana Pale,American IPA,5.47,62.43,7
Apple Pie Cyser,Cyser (Apple Melomel),12.51,0,6.88
Blueberry Fruit Beer,Fruit Beer,4.86,25.02,12.5
California Common,California Common Beer,4.98,37.76,10.93
English Invasion 4 Generation IPA,American IPA,5.22,177.99,3.75
Pappys Weekend Lager,American Lager,4.55,16.81,2.76
LemonDrop SMASH,American Lager,5.02,12.76,3.59
Maduro Brown Clone,American Brown Ale,5.31,23.61,31.83
Glacier APA,American Pale Ale,6,56.61,4.57
VT Pale Ale,American Pale Ale,5.88,95.93,4.81
Maple Stout,Oatmeal Stout,5.82,30.39,33.23
Ferocious IPA,American IPA,6.65,46.48,6.81
MaxPils,Czech Pale Lager,5.84,25.46,3.61
Bakke Brygg Munich Helles 50 L,Munich Helles,4.78,21.08,3.99
Smoothie,Wee Heavy,7.46,99.1,17.43
Golden Lager,Czech Amber Lager,4.54,34.36,8.75
