Samuel Adams Winter Lager,Munich Dunkel,6.02,22.16,11.28 °L
Jeff's Cream Ale,Cream Ale,5.21,16.35,3.49 °L
Wir Trinkt Roggenbier,Roggenbier (German Rye Beer),4.33,16.74,13.54 °L
American IPA,American IPA,7.17,87.77,7.05 °L
Honey Brown Ale,American Brown Ale,5.64,35.1,21.02 °L
Jubelale Clone,Belgian Specialty Ale,5.96,89.89,26.35 °L
Kölsch,Kölsch,5.26,27.57,3.66 °L
Young´s Special London Ale #1,Strong Bitter,6.35,33.53,11.8 °L
FARMER TED CLONE,Cream Ale,5.85,10.42,3.38 °L
Dark Chocolate Cherry Stout,Sweet Stout,5.5,33.46,42.82 °L
Spaten Ocktoberfest,Oktoberfest/Märzen,5.79,19.21,9.64 °L
Anchor Liberty Ale,American Pale Ale,6.21,31.6,7.71 °L
Baltic Porter,Baltic Porter,7.84,29.07,28.97 °L
Bakke Brygg ESB 25 L,Extra Special/Strong Bitter (ESB),5.39,41.6,12.09 °L
Classic American Pale Ale,American Pale Ale,5.08,36.88,10.03 °L
SMaSH Pale Ale-Cascade #1,American Pale Ale,5.4,45.32,5.31 °L
15 Min Simcoe SMaSH (1 Gallon),American Pale Ale,4.74,61.8,6.74 °L
Black IPA,Specialty IPA: Black IPA,9,104.69,30.06 °L
German Pilsner,German Pilsner (Pils),5,18.71,3.29 °L
Belgian Dubbel,Belgian Dubbel,5.78,23.98,17.1 °L
Imperial Coffee Stout,Russian Imperial Stout,7.81,31.24,39.49 °L
Jasmine IPA,American IPA,6.12,67.11,5.7 °L
Hoppy Irish Red,Irish Red Ale,4.94,50.61,16.76 °L
Irish Red,Irish Red Ale,5.42,30.21,15.5 °L
' #1 American Honey Orange Ale,Blonde Ale,5.43,3.36,4.28 °L
Boneshaker Clone,American Pale Ale,6.27,98.02,11.81 °L
Fruit Beer - Blueberry/Watermelon Blonde + IPA,Blonde Ale,5.45,19.05,4.94 °L
Denny's Bourbon Imperial Porter,Robust Porter,8.11,45.51,39.36 °L
Brewdog - Jack Hammer,American Light Lager,7.13,132.72,5.13 °L
Bakke Brygg Scottish Peat Ale 25 L,Other Smoked Beer,5.32,20.61,13.56 °L
Dragon's Breath (Smoked Porter),Other Smoked Beer,6.36,25.8,31.95 °L
NB Surly Bitter Brewer,Special/Best/Premium Bitter,4.47,40.87,9.48 °L
Imperial Porter,Wood-Aged Beer,10.25,62,36.71 °L
Mango Maya 2,Imperial IPA,6.71,37.62,6.95 °L
Lallemand/Verdant NEIPA,American IPA,6.39,25.58,5.01 °L
Bakke Brygg Munich Helles 25 L,Munich Helles,4.78,21.08,3.99 °L
Bjørges Kølsch,Kölsch,5.47,28.89,5.49 °L
Cream Ale,Cream Ale,4.79,16.51,2.51 °L
Hazelnut Coffee Porter,American Stout,6.59,32.71,35.16 °L
New Zealand Pilsner,Pre-Prohibition Lager,5.56,36.37,3.32 °L
Hoegaarden Wit Clone,Witbier,4.94,8.97,4.09 °L
Rogue Hazelnut Brown Clone,American Brown Ale,5.38,44.15,21.14 °L
Delirium Red,Fruit Beer,8.05,19.85,6.36 °L
Sabro Hazy,American IPA,8.2,8.93,6.77 °L
Mexican Cerveza,Blonde Ale,5.28,4.56,4.62 °L
Pete's Wicked Ale Clone,American Amber Ale,4.48,30.49,10.6 °L
Adnams Southwold Bitter,Special/Best/Premium Bitter,5.02,35.67,11.74 °L
Old Ruffian Clone,American Barleywine,10.35,90,16 °L
Belgian Pale,Belgian Blond Ale,6.07,40.72,7.52 °L
Tropical Stout,Foreign Extra Stout,6.33,33.78,34.42 °L
Til We Mead Again,Semi-Sweet Mead,16.07,0,7.77 °L
Peat & Oak,Wood-Aged Beer,9.04,38.98,13.86 °L
Rum Raisin Vanilla Porter,Robust Porter,6.36,26.01,39.19 °L
Imperial Stout  Grainfather,Foreign Extra Stout,7.47,67.91,39.37 °L
